Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
sharesns,74,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
jackiieang,372,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
BumblebeeLia,517,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
bigg_poohbear,784,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
LauraMHerrmann,73,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
emkeypedia,245,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
lillianashleyyy,371,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
B_Lowwwwww,934,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
gradeAunderAfan,9,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
lokismidgard,901,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
sarahvxllar,147,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
TVLine,150641,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Crockett_Rocket,1679,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
sharesns,74,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
InHollywoodland,1673,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ProperOpinion,20652,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
SapitoDaVinci22,168,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
theKen_Miller,1978,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
penne_bae_ker,328,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
oofjlunaa,981,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
sharesns,74,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Lizzycline,251,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
TrinityPutman,159,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
YessubNosaj,399,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
Wendy_Jo_OK,2,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
tammyyll,327,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ajm510,952,86,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
PSKamath7,115,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
MeYouUsMJFAM,438,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
kenmiller30,1873,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
meddocle,549,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
JWWWDMagazine,825,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
EmmanV0702,891,86,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
digicloudm,1903,84,NEU,DISAGREEMENT,SUBJECTIVE,IRONIC
wassupfooo,38,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Cleosbaby64,534,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
