Username,Followers,Score_tag,Tweet
FieldGulls,28771,P,"""None"""
MillieCordelia,977,P,"""None"""
assashcitty,1746,NONE,"""None"""
abbiedressler,1305,NONE,"""None"""
hotmfnkarl,125,N,"""None"""
alisalahio,431,P+,"""None"""
seattlemade,242,NONE,"""None"""
MGSMPodcast,95,P,"""None"""
Bill_Jubran,1246,P,"""None"""
AugustadSays,91,NONE,"""None"""
bo_yusa,25,NONE,"""None"""
akhilaandthebee,164,NONE,"""None"""
zrakMalogMeseca,62,N,"""None"""
yyy17652,28,P,"""None"""
seinfeld_fan,18,NEU,"""None"""
seinfeld_fan,18,NONE,"""None"""
MillieCordelia,976,N,"""None"""
sarahcpr,54761,N,"""None"""
Fussel_kopf,129,N,"""None"""
TheOneToughNerd,131,P+,"""None"""
spideysdagger,180,P,"""None"""
uben123,818,NONE,"""None"""
BobbieFace,10,NEU,"""None"""
BoSnerdley,74131,N,"""None"""
MT2o_,117,NONE,"""None"""
cafebusteloking,3175,N,"""None"""
wendybpr,494,P,"""None"""
CavemanRick,44,N,"""None"""
Coach_Rick12,93,N,"""None"""
CavemenRadio,65,N,"""None"""
wielisc,94,P,"""None"""
BXReporter,2563,N,"""None"""
FrankieFTobin,719,P,"""None"""
dayee22_28,147,P,"""None"""
jobzel_intern,197,N,"""None"""
MillieCordelia,976,NEU,"""None"""
erikadreifus,5541,P,"""None"""
tvrecapsreviews,633,NONE,"""None"""
abrahamjoseph,13050,P,"""None"""
duIceangel,865,NONE,"""None"""
breannadela,530,NONE,"""None"""
KamerX2,263,N,"""None"""
taziobadalament,170,P,"""None"""
towo,931,P,"""None"""
respectmyblog,4247,NONE,"""None"""
davidaquinley,6274,P+,"""None"""
WayeMason,10548,P,"""None"""
cvjc_comedy,77,P+,"""None"""
ttexed,1202,N,"""None"""
ariel_comedy,1069,P+,"""None"""
rycady,3625,P,"""None"""
cutcreaser,4356,P,"""None"""
WebsiteAbuser,1860,N,"""None"""
cinemaven,7741,P,"""None"""
MillieCordelia,977,P+,"""None"""
orangelah,222,NONE,"""None"""
CoachBrooksSH,296,N,"""None"""
nenye_austen,111,P,"""None"""
lookingforlibby,513,N,"""None"""
EntStrategyGuy,534,P,"""None"""
slinginfin,406,NONE,"""None"""
Danaanhi,188,P,"""None"""
AugustadSays,91,NONE,"""None"""
DomMitchell,12228,P+,"""None"""
GregRenoff,11411,P,"""None"""
Force1combat,492,N,"""None"""
DJRoss_72,458,NEU,"""None"""
Iamn0tWill,50,P,"""None"""
IAmTomHoran,590,N,"""None"""
sirRoddick,470,P,"""None"""
MillieCordelia,977,P,"""None"""
cimurray005,32,NONE,"""None"""
DevinBushFan,1118,P,"""None"""
xtinasterbenz,3627,NONE,"""None"""
uncabo,159,P,"""None"""
LittleLisa1103,18,P+,"""None"""
markuliano,65,N,"""None"""
JefeLexy,4503,P,"""None"""
AKARELK,2075,N+,"""None"""
treyyy_wayneee,154,NONE,"""None"""
Victori78458985,34,P,"""None"""
PassTheWood_,400,NONE,"""None"""
DilKhosa,542,NONE,"""None"""
martinsaidthis,848,N,"""None"""
irwinkula,4407,NONE,"""None"""
john_alot,133,P,"""None"""
DcatBry,1969,N,"""None"""
WaterRaven,2132,P,"""None"""
TheMSeries1,1191,N+,"""None"""
mollylambert,46920,P,"""None"""
felah_,1500,NONE,"""None"""
EntStrategyGuy,534,P,"""None"""
JonnyAnderson28,32,P,"""None"""
cagethewicked,246,NONE,"""None"""
metalincamelot,31,P+,"""None"""
MillieCordelia,976,NEU,"""None"""
PaceUNews,2911,N,"""None"""
UKNoContextTV,22,NONE,"""None"""
rich_jolly,1025,P+,"""None"""
That1youknow,58,P,"""None"""
ruraldogs,955,N,"""None"""
Paulajaja4,5,P,"""None"""
Alterici,4340,NONE,"""None"""
djverbalklint,713,NONE,"""None"""
isabella_roque,319,P,"""None"""
milohader,911,NONE,"""None"""
wpp98YT,73,P,"""None"""
SnickerSticker,0,P,"""None"""
BWIonRivals,7713,NEU,"""None"""
DoctorDoc727,1127,NONE,"""None"""
ScriptFeed,2991,NONE,"""None"""
davidz32z,85,P,"""None"""
absenttradition,119,N+,"""None"""
dgrill0,20,N,"""None"""
Crypt0dadio,38,NONE,"""None"""
jackieaina,496051,P,"""None"""
fuckisela,1,N,"""None"""
milayonce_,225,P,"""None"""
overallgoodude,62,NONE,"""None"""
mlsoh7,339,N,"""None"""
