Username,Followers,Score_tag
PassTheWood_,400,NONE
DilKhosa,542,NONE
martinsaidthis,848,N
irwinkula,4407,NONE
john_alot,133,P
DcatBry,1969,N
WaterRaven,2132,P
TheMSeries1,1191,N+
mollylambert,46920,P
felah_,1500,NONE
EntStrategyGuy,534,P
JonnyAnderson28,32,P
cagethewicked,246,NONE
metalincamelot,31,P+
MillieCordelia,976,NEU
PaceUNews,2911,N
UKNoContextTV,22,NONE
rich_jolly,1025,P+
That1youknow,58,P
ruraldogs,955,N
Paulajaja4,5,P
Alterici,4340,NONE
djverbalklint,713,NONE
isabella_roque,319,P
milohader,911,NONE
wpp98YT,73,P
SnickerSticker,0,P
BWIonRivals,7713,NEU
DoctorDoc727,1127,NONE
ScriptFeed,2991,NONE
davidz32z,85,P
absenttradition,119,N+
dgrill0,20,N
Crypt0dadio,38,NONE
jackieaina,496051,P
fuckisela,1,N
milayonce_,225,P
overallgoodude,62,NONE
mlsoh7,339,N
sharpalright,920,NONE
twerk4horchata,307,NONE
carolsvlkyrie,244,P
fuckusernamejor,1400,N
hadaseee,1654,P
glossobi,190,P
th3Varsity,12,N
licamele,631,NONE
adelodun01,3264,N+
Ren_bri,226,P
whaddupbaedah,50,P+
VacatureWerk,26328,NONE
nicky_read1,138,N+
chally11697947,43,NONE
AndrewLipham19,0,N
Kathrynbee12,818,NEU
dropthesurnames,485,P
kay_a_lexx,340,N
yung_mamii210,338,NONE
RStaloff89,226,NONE
maryammvm_,380,P
ParissRain,267,P+
gothhooters,66,P
estheruzokwe,243,P
amsmadwoman,2766,NONE
AndrewRDudley,283,NONE
sheisladon,1440,NONE
_LowkeyLina,179,NONE
jilevin,608833,P
BTOzuna,406,NEU
BiboAlPunto1,117,NONE
bbcsbitch,706,NONE
AugustadSays,91,NONE
NOTREDAMENO1,806,N
Schneider_CM,7161,N
MarcMcD,624,N
knots_86,114,NONE
jjuston,773,NONE
barstoolsports,1698842,N
Lenin_G18,301,NONE
THEformerspig22,47,NONE
facegrace62,65,NONE
FilledToTheBREM,205,N+
AlexRDavis,206,N+
kagamiryuko,84,NONE
_DanielSinclair,4842,NONE
10KK763,123,NONE
yungsour213,90,N
azktsuj,1339,P+
BradWoodle,192,NONE
mao_0k,502,NONE
facegrace62,65,P
_Blondiieeee,3097,P+
kiddington365,572,P
manjirevengers,254,NONE
sojumiIk,18,NEU
JessNewman20,163,P
SHEisthebread,38,P
MoHead1980,664,NONE
kirkbrown12,467,NONE
justinetweets2U,75,NONE
_Dakol,537,N
Seany21Mc,871,P+
chaebackatit,285,NONE
