Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
cinephile27,85,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
OG_Sherlock,96,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ladyadorabeezle: Arya..... Thanks to the cast and crew of GOT for the beautiful work! #GameOfThones https://t.co/yUJCnalu91"""
worshipmaree1,122,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
yuhimashi,1789,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
kbeatt,249,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
VikiiSchneider,48,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Game of Thrones season 4 n 5 were magic"""
hanifaMM,161,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@TDemolish i wanted jon and arya in winterfell with sansa"""
kiriethnicole,606,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
Kayseenendgame,202,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fairycrust: daenerys when she kissed jon snow and felt something in her chest
https://t.co/9emi70Wu2f"""
devotedlyshy,269,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
Franci_Basso,152,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
anaaflima,377,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
theDB7,249,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
UnZenn,112,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""This bitch deserved dying. Fight me."""
192001e,942,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @jitka: It would be funny if next Sunday there was just another episode of Game of Thrones"""
fer_halcala,413,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
andcsy,185,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
amytahourdin27,105,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @gmannVOLS: Gendry was so bad at sex that Arya wanted to go places that weren't even on a map"""
itasvamp,153,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
